|Nom |Adresse|ville|Telephone|Activité
78|Provence Hygiène|93 Chemin du Passet|13016 Marseille|04 91 81 61 92|Activité : travaux d'assainissement
79|Prestige 2 roues|88 Cours Lieutaud|13006 Marseille|04 91 13 69 02|Activité : motos, scooters
80|Lafarge Bétons France|43 Rue Alfred Curtel|13010 Marseille|04 91 80 91 07|Activité : béton prêt à l'emploi
81|La Poste|83 Boulevard du Redon|13009 Marseille|04 91 17 21 65|Activité : service postal
82|La Poste|2 Boulevard de Kabylie|13016 Marseille|04 91 09 32 40|Activité : établissement financier
83|James Studio Novaro|3 Rue de Beausset|13001 Marseille|04 91 90 64 11|Activité : photographe
84|François Morel|104 Cours Lieutaud|13006 Marseille|04 91 42 64 90|Activité : psychiatre
85|F.I.R.E.M|116 Boulevard de la Pomme|13011 Marseille|04 91 45 25 13|Activité : commerce de groupes électrogènes
86|Didier Brissaud|32 Rue Horace Bertin|13005 Marseille|04 91 95 96 76|Activité : ostéopathe
87|Consistoire Israëlite de Marseille|117 Rue Breteuil|13006 Marseille|04 91 37 49 47|Activité : association religieuse ou philosophique
88|Clinique Vétérinaire des Camoins|18 Montée d'Eoures|13011 Marseille|04 91 43 03 43|Activité : vétérinaire
89|Caisse Interprofessionnelle Congés Payés|13 Rue Roux de Brignoles|13006 Marseille|04 91 14 31 31|Activité : administration du travail et de l'emploi
90|C.R.O.U.S.|168 Rue Saint-Pierre|13005 Marseille|04 91 47 48 76|Activité : administration de l’éducation nationale
91|Bruno Sors|23 Rue des Électriciens|13012 Marseille|04 91 34 16 83|Activité : agent général d'assurances
92|avocat|53 rue Grignan Pte Gauche Etg 2|13006 Marseille|04 91 33 82 10|Activité : entreprise
93|Sitweb Concept|23 Rue Saint-Roch|13011 Marseille|09 54 77 36 57|Activité : entreprise
94|SO.ME.PROD|70 Rue Caisserie|13002 Marseille|04 91 35 71 48|Activité : fabricant de chocolateries confiseries
95|SCI GILNICK|33 rue Des Myosotis|13011 Marseille|09 52 22 02 11|Activité : conseiller en informatique
96|PSA Retail Marseille Rabatau|96 Boulevard Rabatau|13008 Marseille|04 91 17 56 10|Activité : concessionnaire
97|PSA Retail Marseille Rabatau|96 Boulevard Rabatau|13008 Marseille|04 91 17 56 02|Activité : crédit automobile
98|M.P.I|5 Avenue de Saint-Menet|13011 Marseille|04 91 44 19 79|Activité : pneus
99|Karim Bendjelloul|30 Rue Nationale|13001 Marseille|04 91 90 01 60|Activité : hôtel
100|Henri El Harake|33 Rue de Decazes|13007 Marseille|04 91 90 33 38|Activité : garage automobile
101|EURO-PROTECTION-SYSTEME|56 Rue Clovis Hugues|13003 Marseille|04 91 62 77 61|Activité : surveillance, gardiennage
102|ENTREPRISE LUCIEN JULLIEN|83 traverse Des Romans|13011 Marseille|04 91 43 02 41|Activité : entreprise
103|Centre de Beauté Yves Rocher|boulevard Littoral|13002 Marseille|04 91 01 45 78|Activité : entreprise
104|Celtic De Marseille Feminin|462 Boulevard Mireille Lauze|13011 Marseille|04 91 44 49 87|Activité : stade, complexe sportif
105|Comptoir Electrique Français|19 Boulevard de Briançon|13003 Marseille|04 91 12 33 40|Activité : grossiste en électricité, électronique
106|Virginie Mariette|376 Avenue du Prado|13008 Marseille|04 91 75 12 42|Activité : kinésithérapeute
107|Qualitophta|50 Avenue des Caillols|13012 Marseille|04 91 44 90 35|Activité : ophtalmologue
108|Centre Médical Métropolitain|140 Rue Alphonse Daudet|13013 Marseille|04 91 10 04 80|Activité : centre médical et dispensaire
109|Laboratoire de Biologie Clairval|317 Boulevard du Redon|13009 Marseille|04 91 26 60 42|Activité : laboratoire d'analyses de biologie médicale
110|C.D.L|202 Rue de Lyon|13015 Marseille|04 91 98 81 54|Activité : casse automobiles
111|Anne-Marie Mimran|38 Rue Jean Mermoz|13008 Marseille|04 91 76 45 94|Activité : radiologue
112|Pharmacie du Capitaine Geze|188 Rue de Lyon|13015 Marseille|04 91 58 06 60|Activité : pharmacien
113|O. Bonhoure Notaires Associés|152 Boulevard Michelet|13008 Marseille|04 91 33 02 15|Activité : notaire
114|Jean-Alain Fartoukh|28 Rue Fauchier|13002 Marseille|04 91 91 25 15|Activité : chirurgien-dentiste
115|Transcultures|5 Rue des Fabres|13001 Marseille|04 91 91 40 23|Activité : association, organisme culturel et socio-éducatif
116|Soutien à Médiation et Aux Antennes Juridiques|120 Rue de Rome|13006 Marseille|04 91 33 37 40|Activité : association humanitaire
117|Secours Médical|22 avenue Fuveau|13013 MARSEILLE|04 91 45 37 71|Activité : entreprise
118|Régis Fornaguéra|93 Chemin de Saint-Antoine à Saint-Joseph|13015 Marseille|04 91 69 13 76|Activité : grossiste en alimentation générale
119|R.E.V.E|327 Boulevard Michelet|13009 Marseille|04 91 73 59 94|Activité : club, association de loisirs
120|Poly Cars Timone|109 avenue Timone|13010 MARSEILLE|04 91 78 07 57|Activité : garage automobile
121|Pharmacie Prado 229|229 Avenue du Prado|13008 Marseille|04 91 25 66 86|Activité : pharmacien
122|Paul Marion et Fils|18 Rue Chateaubriand|13007 Marseille|04 91 52 52 30|Activité : serrurier, métallerie
123|Mathieu Zannetti|2 Rue Louis Maurel|13006 Marseille|04 91 37 08 06|Activité : laboratoire d'analyses de biologie médicale
124|Malauzat et Associés|69 Rue Paradis|13006 Marseille|04 91 13 65 13|Activité : notaire
125|Laboratoire d' Analyses Médicales Contestin|66 Rue Saint-Jean du Désert|13012 Marseille|04 91 88 22 19|Activité : laboratoire d'analyses de biologie médicale
126|Hôtel Nady|157 Cours Lieutaud|13006 Marseille|04 91 48 70 21|Activité : hôtel
127|CICAS|141 Avenue du Prado|13008 Marseille|08 20 20 01 89|Activité : caisse de retraite et de prévoyance
128|Asturienne Penamet|257 Boulevard Danielle Casanova|13014 Marseille|04 95 05 30 90|Activité : couverture, plomberie, zinguerie
129|Laurence Ferrando|8 Boulevard de la Blancarde|13004 Marseille|04 91 85 22 36|Activité : orthophoniste
130|Unicil|29 rue Maréchal Fayolle|13004 MARSEILLE|04 91 49 07 36|Activité : HLM
131|Pascale Keller|107 Boulevard Vauban|13006 Marseille|04 91 81 95 31|Activité : infirmier
132|Expertnet Technologies SA|348 Avenue du Prado|13008 Marseille|04 96 11 52 60|Activité : intérim, travail temporaire
133|Rémy Gaudemard|1 Rue Mazagran|13001 Marseille|04 96 12 21 15|Activité : administrateur de biens et syndic de copropriétés
134|Marc Martino|230 Avenue du Prado|13008 Marseille|04 91 22 68 18|Activité : gynécologue
135|Syndicat des Copropriétaires Parc Talabot|Avenue Talabot|13007 Marseille|04 91 77 14 13|Activité : administrateur de biens et syndic de copropriétés
136|Foot Locker France|77 Rue Saint-Ferréol|13006 Marseille|04 91 33 46 47|Activité : magasin de sport
137|Christine Franceschini-Gaubert|6 Boulevard Charles Moretti|13014 Marseille|04 91 58 54 08|Activité : orthophoniste
138|Bureau Commun des Huissiers de Justice|48 Rue Montgrand|13006 Marseille|04 91 54 21 27|Activité : huissier de justice
139|Betty Rossin-Amar|11 Cours Joseph Thierry|13001 Marseille|04 91 64 99 45|Activité : gynécologue
140|A.S.M.I|37 Boulevard Vincent Delpuech|13006 Marseille|04 91 37 18 32|Activité : associations diverses
141|SOCIETE PROVENCALE MENUISERIE DE POSE|197 avenue 24 Avril 1915|13012 MARSEILLE|04 91 87 17 45|Activité : entreprise de menuiserie
142|Hanouch|139 avenue 24 Avril 1915|13012 MARSEILLE|04 91 77 76 71|Activité : entreprise
143|SFR Fibre|35 Boulevard du Capitaine Gèze|13014 Marseille|04 95 05 19 02|Activité : services de télécommunications
144|Gérard Lacaze|23 Impasse Pautrier|13004 Marseille|04 91 50 16 92|Activité : architecte
145|Xavier Comte|148 Avenue des Olives|13013 Marseille|04 91 06 26 00|Activité : kinésithérapeute
146|Feu Vert|traverse Montre|13011 MARSEILLE|04 91 89 82 94|Activité : équipement pour automobiles et véhicules industriels
147|St Eloi|13 Rue Saint-Eloi|13010 Marseille|04 91 25 99 58|Activité : centre médical et dispensaire
148|Rosemarie Barbe|133 Chemin du Merlan à la Rose|13013 Marseille|09 66 94 36 30|Activité : kinésithérapeute
149|Mairie|8 Boulevard Denis Papin|13015 Marseille|04 91 21 40 32|Activité : administration régionale, départementale et locale
150|Magali Campagnac|508 Avenue de Mazargues|13008 Marseille|04 91 76 59 20|Activité : kinésithérapeute
151|Kine Prado|24 Avenue du Prado|13006 Marseille|04 91 47 36 53|Activité : kinésithérapeute
152|José Pique|210 Rue d'Endoume|13007 Marseille|04 91 31 12 00|Activité : kinésithérapeute
153|Christine Coulomb|6 Avenue du Prado|13006 Marseille|04 91 37 00 87|Activité : kinésithérapeute
154|Centre Médical de la Martheline|33 Avenue de la Martheline|13009 Marseille|04 91 79 18 68|Activité : centre médical et dispensaire
155|C.C.A.S|61 Boulevard de la Concorde|13009 Marseille|04 91 40 35 11|Activité : administration régionale, départementale et locale
156|C.C.A.S|1 Place du Terras|13002 Marseille|04 91 91 33 06|Activité : administration régionale, départementale et locale
157|Thierry Gamby|501 Rue Paradis|13008 Marseille|04 91 77 10 60|Activité : dermatologue vénéréologue
158|Laurence Krief|6 Rue Léon Gozlan|13003 Marseille|04 91 62 69 19|Activité : chirurgien-dentiste
159|Jean-Claude Biguine|107 Boulevard Bara|13013 Marseille|04 91 05 08 40|Activité : coiffeur
160|Olivier Rinaudo|111 Avenue de Saint-Louis|13015 Marseille|04 91 60 52 06|Activité : ophtalmologue
161|Hôpitaux Publics|44 Boulevard Michelet|13008 Marseille|04 91 22 04 00|Activité : hôpital
162|Cécile Secchi|7 Chemin des Martégaux|13013 Marseille|04 91 66 30 16|Activité : kinésithérapeute
163|Thomas Cook|276 Avenue du Prado|13008 Marseille|04 91 22 25 54|Activité : agence de voyages
164|Henri-Romain Malaterre|11 Cours Joseph Thierry|13001 Marseille|04 91 50 64 47|Activité : cardiologue
165|Elisabeth Duclos-Casalonga|14 Rue Beauvau|13001 Marseille|04 91 33 14 45|Activité : dermatologue vénéréologue
166|David Siahou|8 Boulevard de la Blancarde|13004 Marseille|04 91 49 01 37|Activité : chirurgien-dentiste
167|Centre D'Imagerie Médicale|92 Boulevard Paul Claudel|13009 Marseille|04 91 74 71 47|Activité : radiologue
168|Catherine Gianni|75 Boulevard Charles Livon|13007 Marseille|04 91 52 41 13|Activité : architecte
169|13 Habitat|28 Boulevard de la Padouane|13015 Marseille|04 91 65 86 29|Activité : HLM
170|Soleil Voyages|39 Avenue Camille Pelletan|13002 Marseille|04 91 91 44 24|Activité : agence de voyages
171|S C M Bianchi Tourtel|50 Rue Saint-Bruno|13004 Marseille|04 91 49 45 50|Activité : chirurgien-dentiste
172|Point P Provence|Avenue de Saint-Menet|13011 Marseille|04 91 43 02 89|Activité : négociant en matériaux de construction
173|Parfumerie Corania|43 Chemin de l'Armée d'Afrique|13005 Marseille|04 91 24 34 60|Activité : grossiste en parfumerie et cosmétiques
174|Michel Raquet|37 Rue Grignan|13001 Marseille|04 91 33 09 35|Activité : chirurgien-dentiste
175|Michel Di-Rocco|41 Rue Louis Astruc|13005 Marseille|04 95 08 92 51|Activité : chirurgien-dentiste
176|Marwan Mehawej|21 Avenue d'Haïti|13004 Marseille|04 91 49 02 77|Activité : chirurgien-dentiste
177|La Plateforme du Batiment|53 Boulevard du Capitaine Gèze|13014 Marseille|04 96 16 28 00|Activité : négociant en matériaux de construction
178|Julien Madar|27 Traverse des Cyprès|13013 Marseille|04 91 66 35 71|Activité : chirurgien-dentiste
179|Jacky Tammam|36 Avenue de Mazargues|13008 Marseille|04 91 71 73 86|Activité : chirurgien-dentiste
180|Hôpitaux Publics|52 Boulevard Michelet|13008 Marseille|04 91 22 28 20|Activité : hôpital
181|Hôpital Edouard Toulouse|49 Avenue de Saint-Jérôme|13013 Marseille|04 91 06 11 41|Activité : hôpital
182|Hotel des Ventes Mediterranee|11 Rue de Lorgues|13008 Marseille|04 91 77 54 63|Activité : commissaire-priseur judiciaire
183|Groupe de Cardiologie Interventionnelle|376 Avenue du Prado|13008 Marseille|04 91 77 77 07|Activité : cardiologue
184|Erilia|20 Rue de Siam|13011 Marseille|04 91 89 22 04|Activité : HLM
185|E T M M|315 avenue Olives|13013 Marseille|04 91 21 81 65|Activité : maçonnerie, maçon
186|Claude Weiller Merli|376 Avenue du Prado|13008 Marseille|04 91 71 87 10|Activité : dermatologue vénéréologue
187|Christophe Compagnon|129 Rue Jean Mermoz|13008 Marseille|04 91 77 63 56|Activité : dermatologue vénéréologue
188|Centre des Spécialistes Médicaux|8 Avenue des Olives|13013 Marseille|04 91 06 40 40|Activité : cardiologue
189|Alchimie|44 Rue de la Palud|13001 Marseille|04 91 55 70 28|Activité : grossiste en parfumerie et cosmétiques
190|Albingia|17 B Avenue Robert Schuman|13002 Marseille|04 91 72 30 47|Activité : compagnie d'assurances
191|Alain Mouly|88 Rue du Commandant Rolland|13008 Marseille|04 91 16 22 34|Activité : ophtalmologue
192|M.A.E|8 Square Cantini|13006 Marseille|04 91 78 91 98|Activité : mutuelle
193|Cabinet Médical 200 BD Baille|200 Boulevard Baille|13005 Marseille|04 91 78 66 63|Activité : médecin généraliste
194|Ghislaine Grimaldi|2 Boulevard Michelet|13008 Marseille|04 91 71 90 92|Activité : médecin généraliste
195|Stéphane Perel|39 Rue Paradis|13001 Marseille|04 91 33 68 53|Activité : avocat
196|Pascale Roblin|53 Boulevard Chave|13005 Marseille|04 91 63 18 89|Activité : médecin généraliste
197|Horsy|523 Rue Paradis|13008 Marseille|04 91 25 52 39|Activité : vêtements femme
198|S.A.M.O.P.O.R|39 Rue Montgrand|13006 Marseille|04 91 04 95 00|Activité : agence immobilière
199|S.A.C.O.G.I.B.O.R|39 Rue Montgrand|13006 Marseille|04 91 04 95 03|Activité : agence immobilière
200|Papi Mami Assistance|68 Avenue de Saint-Julien|13012 Marseille|04 91 34 95 84|Activité : services d'aides à domicile
201|Onet Laser Systems|36 Boulevard de l'Océan|13009 Marseille|04 91 29 18 10|Activité : bureau d'études en ingénierie
202|La Fournée de Saint Louis|131 Avenue de Saint-Louis|13015 Marseille|04 91 60 44 95|Activité : boulanger
203|Frédérique Lena|12 Rue Breteuil|13001 Marseille|04 91 19 75 22|Activité : avocat
204|Boulangerie Montaigne|109 Rue Montaigne|13012 Marseille|04 91 49 16 47|Activité : boulanger
205|Agnès Martin-Santi|85 Rue Sylvabelle Robert de Vernejoul|13006 Marseille|04 96 10 31 86|Activité : avocat
206|Georges Rebuffat|153 Rue d'Endoume|13007 Marseille|04 91 52 63 15|Activité : plombier
207|Cecile Pinault|91 Rue de la Belle de Mai|13003 Marseille|04 91 08 44 91|Activité : médecin généraliste
208|SILIM|625 chemin Littoral|13016 Marseille|04 91 46 04 09|Activité : glace à rafraîchir
209|La Cave du Redon|11 boulevard Redon|13009 Marseille|04 91 82 08 20|Activité : vins et spiritueux
210|DERNAZ|18 boulevard Métro|13013 MARSEILLE|04 91 61 09 94|Activité : entreprise
211|Société Générale|7 Boulevard de Dunkerque|13002 Marseille|04 91 14 31 40|Activité : banque
212|Josette Gonzales|49 Rue Grignan|13006 Marseille|04 91 54 71 33|Activité : avocat
213|Cave Mérentié|54 Boulevard Eugène Pierre|13005 Marseille|04 91 47 03 23|Activité : vins et spiritueux
214|SCI Du 123 Rue Belle de Mai|123 Rue de la Belle de Mai|13003 Marseille|04 91 50 42 32|Activité : médecin généraliste
215|Louis Mariotti|5 Place Maurice Thouvenin|13011 Marseille|04 91 43 18 35|Activité : entreprise
216|CIC|1 Traverse Grandjean|13013 Marseille|04 96 13 05 39|Activité : banque
217|Sophie Tacussel|24 Rue Marx Dormoy|13004 Marseille|04 91 80 38 54|Activité : entreprise
218|Salah Thai|89 Boulevard Bara|13013 Marseille|04 91 68 67 73|Activité : restaurant
219|SCE INTERVENTION DEPANNAGE PRO|25 Boulevard Ledru-Rollin|13015 Marseille|04 91 50 52 39|Activité : entreprise
220|Marjorie Landre|11 boulevard Ricard|13003 MARSEILLE|04 91 95 62 99|Activité : entreprise
221|Luc Bonifay|2 Rue Albert|13013 Marseille|04 91 06 45 09|Activité : infirmier
222|Le Fournil des Allées|75 Allée Léon Gambetta|13001 Marseille|04 91 62 69 75|Activité : entreprise
223|La Gorgée de Soleil|87 Avenue de Saint-Antoine|13015 Marseille|04 91 96 20 19|Activité : vins et spiritueux
224|Jocelyne Puvenel|90 Rue de Rome|13006 Marseille|04 91 57 05 59|Activité : entreprise
225|Eaux de Marseille|25 Rue Édouard Delanglade|13006 Marseille|04 91 57 65 12|Activité : eaux
226|Amrest Opco SAS|Avenue des Peintres Roux|13011 Marseille|04 91 45 58 07|Activité : restauration rapide
227|Vitale Kameni|82 Rue Breteuil|13006 Marseille|04 91 54 37 44|Activité : avocat
228|Vie Privée|198 Rue de Rome|13006 Marseille|04 91 81 16 61|Activité : cadeaux, souvenirs
229|Sophie Sadon|154 Rue Breteuil|13006 Marseille|04 91 81 41 78|Activité : entreprise
230|Philippe Aldebert|5 Rue Sylvabelle|13006 Marseille|04 91 37 88 00|Activité : huissier de justice
231|Noune Oskose|17 A Rue Saint-Antoine|13002 Marseille|09 64 40 93 74|Activité : entreprise
232|Maryvonne-Fleurs|41 Chemin de la Nerthe|13016 Marseille|04 91 46 00 49|Activité : fleuriste
233|Marc Farinacci|11 Boulevard Bompard|13007 Marseille|04 91 52 10 44|Activité : médecin généraliste
234|Laurent Chambost|30 rue Electriciens|13012 MARSEILLE|04 91 68 07 06|Activité : entreprise
235|Jean-Marc Sbrana|148 Boulevard Bompard|13007 Marseille|04 91 52 64 10|Activité : boucher charcutier
236|Jean-Bernard Dufresne|41 Rue d'Isoard|13001 Marseille|04 91 64 96 45|Activité : entreprise
237|Japathi|252 Boulevard Baille|13005 Marseille|04 91 71 44 92|Activité : restaurant
238|Fabienne Beugnot|29 rue Haxo|13001 Marseille|04 91 33 55 08|Activité : avocat
239|Cedres|47 boulevard Aciéries|13010 MARSEILLE|04 91 72 23 49|Activité : sécurité au travail
240|Cabinet Médical 6 rue Rocca|345 Avenue du Prado|13008 Marseille|04 91 79 10 21|Activité : entreprise
241|Bar Du Soleil|17 Place Pierre Brossolette|13004 Marseille|04 91 49 37 29|Activité : café, brasserie
242|Azur Confort|151 Avenue des Aygalades|13015 Marseille|04 91 98 76 15|Activité : entreprise
243|AG Distribution|452 Avenue du Prado|13008 Marseille|04 91 76 83 60|Activité : entreprise
244|A R A P L Provence|6 allées Turcat Méry|13008 Marseille|04 91 80 25 85|Activité : centre et association de gestion agréé
245|Union Locale Syndic Port CGT|101 Rue de la République|13002 Marseille|09 63 27 73 88|Activité : entreprise
246|Télé Tobelem|64 Rue Sauveur Tobelem|13007 Marseille|04 91 31 04 73|Activité : dépanneur de télévision, hi-fi, vidéo
247|Twirling Boutique|89 Avenue des Roches|13007 Marseille|04 91 31 44 22|Activité : vente par correspondance vpc
248|Tani Para|rue Désiré Pellaprat|13008 MARSEILLE|04 91 73 43 69|Activité : café, brasserie
