|Nom |Adresse|ville|Telephone|Activité
39|ASSOCIATION AMRFP ASSOCIATION AMRFP ASSOCIATION AMRFP|54 RUE ESPERANDIEU|13001 MARSEILLE|04 65 85 74 54|Activité : entreprise
40|ZEYNAFOUKA ANTHONY OPOKU|27 RUE ADOLPHE THIERS|13001 MARSEILLE|09 80 66 14 31|Activité : entreprise
41|WORLD FOOTBALL ADDA DJAFFEUR|45 RUE DE ROME|13001 MARSEILLE|04 84 26 47 00|Activité : entreprise
42|VELO SAPIENS ROBERT ALESSANDRI|39 Rue Mazagran|13001 Marseille|04 88 86 55 23|Activité : entreprise
43|URIP MEDITERANEE MARC BAYARD|2 Rue Henri Barbusse|13001 Marseille|04 65 85 35 16|Activité : entreprise
44|TWIST AVENUE GREGORY MARTIN|14 Rue Henri Fiocca|13001 Marseille|09 82 50 71 91|Activité : entreprise
45|TRIOMPH'BAR 3 KADER ACHIR|27 ALLEE LEON GAMBETTA|13001 MARSEILLE|04 88 10 68 97|Activité : entreprise
46|TOASTY MARSEILLE CLAIRE MOINE|4 RUE SAINT SAENS|13001 MARSEILLE|04 65 96 33 03|Activité : entreprise
47|THADE ETIENNE DE FONTAINIEU|44 Rue Commandant Mages|13001 Marseille|04 13 59 74 43|Activité : entreprise
48|SONASHI FRANCE SAMVEL SOUKIASSIAN|28 Cours Belsunce|13001 Marseille|04 91 91 37 79|Activité : entreprise
49|SOCIO CULTURELLE NOUR EL ABDOU SOILIHI IBRAHIM|5 RUE LA FAYETTE|13001 MARSEILLE|04 91 54 43 67|Activité : entreprise
50|SARL SOLUTION MASSON SYLVIE|16 RUE BRETEUIL|13001 MARSEILLE 01|04 86 77 30 44|Activité : entreprise
51|SARL MOSSE DISTRIBUTION REMY MOSSE|72 Rue Consolat|13001 Marseille|04 65 85 82 74|Activité : entreprise
52|SARL MONT SALVA YOLANDE HUMBLOT|11 Cours Joseph Thierry|13001 Marseille|04 88 04 20 33|Activité : entreprise
53|SARL MDM-VETZ STEPHANE MESCHI|5 RUE GLANDEVES|13001 MARSEILLE|04 88 08 36 02|Activité : entreprise
54|SARL BRASSERIE DE LYON YOUSSEF BOUGMAWEMI|13 RUE ROUGET DE LISLE|13001 MARSEILLE 01|04 91 54 86 50|Activité : entreprise
55|SALON DE L'ACADEMIE ABDELKADER BOUCHAMA|1 RUE DE L ACADEMIE|13001 MARSEILLE|04 88 08 05 63|Activité : entreprise
56|S.A.R.L. SUN BEAUTE DIB AICHA|28 Boulevard Garibaldi|13001 Marseille|04 65 57 49 78|Activité : entreprise
57|ROUMAYSSA CHOUKRI BEN SALAH|46 Rue Sainte|13001 Marseille|04 65 85 46 22|Activité : entreprise
58|R.K.I. TRANSPORTS GHALEM MOKHFI|39 Rue Adolphe Thiers|13001 Marseille|04 88 04 40 02|Activité : entreprise
59|PRISM VENTURES ZAKARI JAMMOT|64 RUE GRIGNAN|13001 MARSEILLE|04 88 08 51 84|Activité : entreprise
60|PABLITO THOMAS DERUDA|45 Rue Sainte|13001 Marseille|04 86 77 75 72|Activité : entreprise
61|OTM Industrie - AEA Architectes|27 Rue de la Rotonde|13001 Marseille|04 91 08 07 81|Activité : entreprise
62|OLACOM LAURENT MUR|8 RUE EUTHYMENES|13001 MARSEILLE|04 65 57 09 99|Activité : entreprise
63|NEW CANEBIERE BENDJELLOUL PIERRE CENTRAL CANEBIERE|10 RUE DE LA REPUBLIQUE|13001 MARSEILLE|04 84 18 73 97|Activité : entreprise
64|NATURAL SOLUTIONS NATURAL SOLUTIONS|68 Rue Sainte|13001 Marseille|04 91 33 53 87|Activité : entreprise
65|NATTIMMO ROMAIN BERTINATTI|27 ALLEE LEON GAMBETTA|13001 MARSEILLE|04 65 95 57 23|Activité : entreprise
66|NATOMABA BAPTISTE LECAT|12 RUE LEMAITRE|13001 MARSEILLE|04 65 95 45 80|Activité : entreprise
67|Mutuelles du Soleil Site Marseille Caneb|31 La Canebiere|13001 MARSEILLE|04 91 91 68 98|Activité : compagnie d'assurances
68|Medispro SARL|15 Rue d'Isoard|13001 Marseille|04 91 95 70 05|Activité : entreprise
69|MONSIEUR ABRAHAM PARTOUCH ALBERT PARTOUCHE|1 RUE DE LA PROVIDENCE|13001 MARSEILLE|04 91 90 81 00|Activité : entreprise
70|MERRY PRANKSTERS NICOLAS MERCIER|11 RUE FREDERIC CHEVILLON|13001 MARSEILLE|04 86 77 19 83|Activité : entreprise
71|MARS 03 BERTRAND DELCOUR|3 RUE EUTHYMENES|13001 MARSEILLE|04 65 95 23 96|Activité : entreprise
72|MADAME MARJORIE BOLIKIAN MARJORIE BOLIKIAN|98 Rue Consolat|13001 Marseille|04 84 33 89 49|Activité : entreprise
73|La Bricotheque|30 Rue Flégier|13001 Marseille|04 96 21 20 07|Activité : entreprise
74|LINA MOUNIR MEKKAOUI|5 ALLEE LEON GAMBETTA|13001 MARSEILLE|04 65 96 75 91|Activité : entreprise
75|LES MEUBLIERS ET CO JEAN FRANCOIS SERVIGNE|37 RUE ESTELLE|13001 MARSEILLE 01|04 91 54 45 99|Activité : entreprise
76|LA SAVEUR DES ILES LA SAVEUR DES ILES LA SAVEUR DES ILES|3 HALLE DELACROIX|13001 MARSEILLE|04 65 96 70 82|Activité : entreprise
77|LA PIZZERIA DU MARCHE MONGI GHARRAD|22 Rue des Feuillants|13001 Marseille|04 91 33 24 84|Activité : entreprise
78|LA LANGOUSTINE NATHALIE TOUATI|34 RUE SAINT SAENS|13001 MARSEILLE 01|04 13 59 01 14|Activité : restaurant
79|KHABA BRAHIM BAROUDI|23 Place des Marseillaises|13001 Marseille|09 54 62 62 37|Activité : entreprise
80|IZMIR KEBAB MERVAN AYDINKAYA|35 BOULEVARD D ATHENES|13001 MARSEILLE|04 86 77 65 97|Activité : entreprise
81|ISEO AUTOMATION ALAIN BICAIS|27 Rue Curiol|13001 Marseille|04 65 57 00 27|Activité : entreprise
82|Habitat Alternatif Social|9 Rue des Convalescents|13001 Marseille|04 96 10 12 00|Activité : entreprise
83|Habitat Alternatif Social|22 Rue des Petites Maries|13001 Marseille|04 91 19 03 21|Activité : entreprise
84|Fiora Nathalie et Jean-Jacques Disdier F|23 Rue Haxo|13001 Marseille|04 91 33 41 78|Activité : notaire
85|ENERLIS VICTORIA HURTEL|2 RUE HENRI BARBUSSE|13001 MARSEILLE|04 86 77 61 87|Activité : entreprise
86|Dubost Jourdeneaud Rouvier Giralt (SCP)|8 rue Papère|13001 MARSEILLE 01|04 96 11 19 00|Activité : notaire
87|DJARROUM HAMOU DJARROUM HAMMOU|54 RUE DE LA PALUD|13001 MARSEILLE|04 88 10 67 04|Activité : entreprise
88|DEDECO SARL ERIC BERTOLOTTO|24 RUE GUIBAL|13001 MARSEILLE 01|04 91 95 61 99|Activité : entreprise
89|DALTON BROTHERS MUSTAPHA BOURAGBA|35 RUE LONGUE DES CAPUCINS|13001 MARSEILLE|04 65 85 20 69|Activité : entreprise
90|D'AGOSTINO PATRICK PATRICK DAGOSTINO|38 RUE DE LA BIBLIOTHEQUE|13001 MARSEILLE|04 88 86 63 42|Activité : entreprise
91|Cabinet PREVOST|19 Rue de la Paix Marcel Paul|13001 Marseille|04 91 01 56 55|Activité : avocat
92|CULTURES DU COEUR 13 KARINE LACOME|18 BD CAMILLE FLAMMARION|13001 MARSEILLE 01|09 74 44 19 41|Activité : entreprise
93|COMPAGNIE A TABLE ARIANE GROOS|31 RUE SAINT BAZILE|13001 MARSEILLE|04 65 57 34 73|Activité : entreprise
94|CHRISTOPHE AUTRET CHRISTOPHE AUTRET|7 Cours Franklin Roosevelt|13001 Marseille|04 91 31 81 20|Activité : entreprise
95|CABINET CLV INES SAHAL|7 RUE PYTHEAS|13001 MARSEILLE|04 91 51 52 43|Activité : entreprise
96|C 2 R SEBASTIEN FEISSEL|68 RUE SAINTE|13001 MARSEILLE|04 84 26 32 47|Activité : entreprise
97|BROOKLIN 26 ST BROOKLIN 26|24 RUE TAPIS VERT|13001 MARSEILLE 01|04 91 90 65 05|Activité : entreprise
98|BOULANGERIE DE LA CONCEPT ABDELBASSET EL MBARKI|42 Boulevard Camille Flammarion|13001 Marseille|04 65 58 03 37|Activité : entreprise
99|BALMAT GESTION PRIVEE ARNAUD AIMARD|25 RUE FRANCIS DAVSO|13001 MARSEILLE|04 88 08 84 19|Activité : entreprise
100|AUTO NETT WORK OMAR EL UARDI|1 RUE DE LA R ELISABETH|13001 MARSEILLE 01|04 91 91 11 00|Activité : entreprise
101|ANAHIP ANAHIP ANAHIP|11 BOULEVARD DE LA LIBERTE|13001 MARSEILLE|04 84 33 52 54|Activité : entreprise
102|AMINE RIAD DJEGHADER|7 RUE DES DOMINICAINES|13001 MARSEILLE|09 81 95 65 55|Activité : entreprise
103|AMILCAR BOUBAKER BENHEDIA|21 BOULEVARD D ATHENES|13001 MARSEILLE|04 91 91 94 40|Activité : entreprise
104|A2I - Assistance d'Investissement Immobi|42 Rue Saint-Saëns|13001 Marseille|04 91 55 60 08|Activité : entreprise
105|A.M.P.T.A. N°vert:0800 36 54 78 fax:04 91 91 98 59|39 rue Nationale|13001 MARSEILLE 01|04 91 91 50 52|Activité : entreprise
106|A VOIX HAUTE ELSA AICH|50 Rue Bernard du Bois|13001 Marseille|04 88 04 48 41|Activité : entreprise
107|Eros Center|5 Boulevard Garibaldi|13001 Marseille|04 91 92 72 30|Activité : articles et librairies érotiques
108|Dit Merveille|14 Rue Breteuil|13001 Marseille|04 91 54 37 00|Activité : fleuriste
109|Siarem|18 cours Pierre Puget|13001 Marseille|04 91 33 00 15|Activité : bureau d'études en ingénierie
110|Rive Neuve|30 Cours Honoré d'Estienne d'Orves|13001 Marseille|04 91 54 09 34|Activité : vêtements femme
111|Provis|5 Boulevard Garibaldi|13001 Marseille|04 91 92 81 37|Activité : discount, stocks, dégriffés
112|Pharmacie Taheraly|15 Allée Léon Gambetta|13001 Marseille|04 91 84 31 99|Activité : pharmacien
113|Logiback|27 Cours Honoré d'Estienne d'Orves|13001 Marseille|04 91 55 52 49|Activité : transporteur d'objet, matériel
114|Lab Eric Sports|99 rue République|13001 Marseille|04 91 90 88 86|Activité : grossiste en équipement de sport
115|Grande Pharmacie Corot|67 avenue Corot|13001 Marseille|04 91 66 03 85|Activité : pharmacien
116|Frigoli|305 rue Albert Einstein|13001 Marseille|04 91 05 19 89|Activité : boulanger
117|Charlène Optique|305 rue Albert Einstein|13001 Marseille|04 91 08 87 65|Activité : opticien
118|Carrel|54 Rue Grignan|13001 Marseille|04 91 55 58 80|Activité : entreprise
119|Mission Développement Economique et Régional|22 Rue Sainte-Barbe|13001 Marseille|04 96 17 07 40|Activité : organisme de développement économique
120|A C I M|121 La Canebière|13001 Marseille|04 91 02 62 69|Activité : entreprise
121|Go Sport France|centre commercial Bourse|13001 Marseille|04 95 09 37 80|Activité : magasin de sport
122|Karim Bendjelloul|30 Rue Nationale|13001 Marseille|04 91 90 01 60|Activité : hôtel
123|Claudette Russo|37 Allée Léon Gambetta|13001 Marseille|04 91 08 44 98|Activité : entreprise
124|Robert Giordana|168 La Canebière|13001 Marseille|04 91 58 27 19|Activité : pâtissier
125|James Studio Novaro|3 Rue de Beausset|13001 Marseille|04 91 90 64 11|Activité : photographe
126|Rémy Gaudemard|1 Rue Mazagran|13001 Marseille|04 96 12 21 15|Activité : administrateur de biens et syndic de copropriétés
127|Betty Rossin-Amar|11 Cours Joseph Thierry|13001 Marseille|04 91 64 99 45|Activité : gynécologue
128|Henri-Romain Malaterre|11 Cours Joseph Thierry|13001 Marseille|04 91 50 64 47|Activité : cardiologue
129|Michel Raquet|37 Rue Grignan|13001 Marseille|04 91 33 09 35|Activité : chirurgien-dentiste
130|Stéphane Perel|39 Rue Paradis|13001 Marseille|04 91 33 68 53|Activité : avocat
131|Frédérique Lena|12 Rue Breteuil|13001 Marseille|04 91 19 75 22|Activité : avocat
132|Jean-Bernard Dufresne|41 Rue d'Isoard|13001 Marseille|04 91 64 96 45|Activité : entreprise
133|Philippe Jacquemin|12 Rue Breteuil|13001 Marseille|04 91 33 10 10|Activité : avocat
134|Lionel Donadey|12 Rue Moustier|13001 Marseille|04 91 55 54 35|Activité : graveur en bijoux et médailles
135|Hayat Ahmed|9 Rue Paradis|13001 Marseille|04 91 54 49 69|Activité : avocat
136|Véronique Valensi|6 Rue Breteuil|13001 Marseille|04 91 33 34 35|Activité : avocat
137|Francis Ghrenassia|55 Rue Saint-Ferréol|13001 Marseille|04 91 54 00 61|Activité : avocat
138|Christian Jequel|30 Cours Honoré d'Estienne d'Orves|13001 Marseille|04 91 33 01 14|Activité : entreprise
139|Virginie Simon-N'Guyen Quang|52 Rue Espérandieu|13001 Marseille|04 91 08 56 20|Activité : infirmier
140|Valérie Gross|12 Rue Colbert|13001 Marseille|04 91 91 64 90|Activité : chirurgien-dentiste
141|Stéphane Nesonson|49 boulevard Beaumont|13001 Marseille|04 91 93 42 39|Activité : vins et spiritueux
142|Sandrine Wernert|7 Rue Paradis|13001 Marseille|04 91 91 61 08|Activité : avocat
143|Saloua Guedj|196 chemin Gibbes|13001 Marseille|04 91 81 36 50|Activité : médecin généraliste
144|Rémi Skweres|8 Rue du Bailli de Suffren|13001 Marseille|04 91 33 97 25|Activité : entreprise
145|Roland Salomon|64 avenue Chartreux|13001 Marseille|04 91 49 43 31|Activité : chirurgien-dentiste
146|Philippe Saunier|15 Rue du Coq|13001 Marseille|04 91 64 34 34|Activité : architecte
147|Philippe Laurent|103 La Canebière|13001 Marseille|04 91 95 68 12|Activité : agent général d'assurances
148|Philippe Donjerkovic|139 Boulevard Longchamp|13001 Marseille|04 91 62 73 51|Activité : architecte
149|Philippe Campredon|83 boulevard Redon|13001 Marseille|04 91 78 32 94|Activité : entreprise
150|Patrick Mastropasqua|1 boulevard Isabelle|13001 Marseille|04 91 70 26 81|Activité : coiffeur
151|Nicole Laffue|32 Rue Grignan|13001 Marseille|04 96 17 24 25|Activité : avocat
152|Nathalie Ferran|88 Rue Saint-Savournin|13001 Marseille|04 91 58 08 97|Activité : entreprise
153|Monique Sébasti|10 Square Stalingrad|13001 Marseille|04 91 05 95 15|Activité : psychiatre
154|Michel Lao|66 D Rue Sainte|13001 Marseille|04 91 54 17 66|Activité : conseiller en immobilier d'entreprise
155|Martin-Bottin Scp Infirmiers|11 Boulevard de la Libération|13001 Marseille|09 77 97 73 41|Activité : entreprise
156|Laurent Corso|38 Rue Sainte|13001 Marseille|04 91 33 33 26|Activité : chirurgien-dentiste
157|Jean-Pierre Arniaud|18 chemin Four de Buze|13001 Marseille|04 91 46 06 63|Activité : médecine interne
158|Jean-Jacques Rougier|6 Square Stalingrad|13001 Marseille|04 91 50 21 51|Activité : cardiologue
159|Jamel Sammari|26 Boulevard de la Liberté|13001 Marseille|04 91 50 32 70|Activité : entreprise
160|Jacques Plaisant|24 Rue Lulli|13001 Marseille|04 91 04 08 89|Activité : huissier de justice
161|Jacques Pica|79 Boulevard de la Libération|13001 Marseille|09 65 22 47 09|Activité : concessionnaire
162|Jacques Jedwab|5 rue Wulfram Puget|13001 Marseille|04 91 22 12 08|Activité : psychologue
163|Husseini Sarhan|36 Boulevard de la Libération|13001 Marseille|04 91 63 08 68|Activité : entreprise
164|Hervé Herbault|30 Rue Nationale|13001 Marseille|04 91 90 11 05|Activité : médecin généraliste
165|Gilbert Sindres|49 Rue de la Paix Marcel Paul|13001 Marseille|04 91 54 36 31|Activité : avocat
166|Françoise Mimouni-Guedj|6 Rue Grignan|13001 Marseille|04 91 55 53 75|Activité : avocat
167|Franco Tchidoudouka|11 b Rue Saint-Ferréol|13001 Marseille|04 91 04 63 44|Activité : avocat
168|Franck Attali|60 Rue Saint-Ferréol|13001 Marseille|09 67 33 25 39|Activité : entreprise
169|Florence Richard|32 Rue Grignan|13001 Marseille|04 91 54 94 65|Activité : avocat
170|Fat Abd El Naby El Said|77 La Canebière|13001 Marseille|04 91 90 23 50|Activité : entreprise
171|Christine Viard-Guillot|31 Boulevard d'Athènes|13001 Marseille|04 91 14 13 70|Activité : orientation et information scolaires et professionnelles
172|Bernard Maurizot|5 A Rue du Jeune Anacharsis|13001 Marseille|04 91 33 72 61|Activité : opticien
173|Benedicte Benedicte Lagrange|40 Rue Sainte|13001 Marseille|04 91 66 52 59|Activité : avocat
174|Andre Julien|13 Marché des Capucins|13001 Marseille|04 91 54 20 10|Activité : entreprise
175|Amar Lassouane|7 rue Rome|13001 MARSEILLE|04 91 54 47 65|Activité : entreprise
176|Martino Borzillo|8 Rue Euthymenes|13001 Marseille|04 91 33 50 36|Activité : entreprise
177|Lynda Bouasla|11 Rue Pisançon|13001 Marseille|09 67 64 21 62|Activité : restaurant
178|Gaëtan Gabrièle|8 Rue du Jeune Anacharsis|13001 Marseille|04 91 33 75 10|Activité : agence immobilière
179|Emmanuelle Alfonsi|16 Rue Lulli|13001 Marseille|04 91 54 21 87|Activité : entreprise
180|Capucine Van Robays|12 rue Venture|13001 MARSEILLE|04 91 72 73 66|Activité : entreprise
181|Alexandra Leone|37 Rue Longue des Capucins|13001 Marseille|04 91 52 30 22|Activité : entreprise
182|Eric Kania|14 Allée Léon Gambetta|13001 Marseille|04 91 62 97 64|Activité : psychiatre
183|Chantal Zakarian|29 boulevard Corderie|13001 Marseille|04 91 33 90 17|Activité : chirurgien-dentiste
184|Hélène Pantaloni|1 avenue Corail|13001 Marseille|04 91 73 13 99|Activité : chirurgien-dentiste
185|Robert Chiche|10 centre commercial La Valentine|13001 Marseille|09 71 50 78 34|Activité : entreprise
186|Florence Lescure|7 Rue Francis Davso|13001 Marseille|04 91 04 70 75|Activité : avocat
187|Bernard Gacoin|49 quai Belges|13001 MARSEILLE|04 91 33 34 60|Activité : entreprise
188|Rolland Amsellem|16 Rue Breteuil|13001 Marseille|04 91 54 73 06|Activité : avocat
189|Elisabeth Ahissa|40 Rue du Musée|13001 Marseille|09 62 59 88 17|Activité : entreprise
190|Danielle Ferran|10 Rue Breteuil|13001 Marseille|04 91 91 06 83|Activité : avocat
191|Christelle Picard|quai Honneur|13001 Marseille|09 62 15 04 17|Activité : entreprise
192|Charles Rutili|29 Rue Thubaneau|13001 Marseille|09 67 22 15 50|Activité : artiste peintre
193|Ali Haderi|37 Allée Léon Gambetta|13001 Marseille|09 67 12 91 29|Activité : entreprise
194|Abdelkader Kheloufi|33 Rue Tapis Vert|13001 Marseille|04 91 90 82 86|Activité : entreprise
195|SOCIETE D EXPLOITATION VITANEU MARIE CLAIRE EDMOND|1 A Rue Molière|13001 Marseille|04 91 33 87 54|Activité : entreprise
196|LE DEBOUCHE JEAN CLAUDE MARCELLINI|3 Boulevard National|13001 Marseille|04 91 50 96 25|Activité : entreprise
197|Hôtel Mercure Euro-Centre|1 Rue Neuve Saint-Martin|13001 Marseille|04 96 17 22 22|Activité : hôtel
198|ETS Patrice Villand|80 Rue Consolat|13001 Marseille|04 91 84 57 15|Activité : entreprise
199|VINTAGE COFFEE SERGE CACCIALUPI|2 Rue Haxo|13001 Marseille|04 91 54 31 42|Activité : entreprise
200|TELLESCHI VOYAGES|13 allée LEON GAMBETTA|13001 MARSEILLE 01|04 91 62 57 70|Activité : entreprise
201|TASQUE LAURENT LAURENT TASQUE|5 cour Saint LOUIS|13001 MARSEILLE|04 91 90 38 62|Activité : entreprise
202|SODEPAIX MAC DONALD S|50 Rue d'Aix|13001 Marseille|04 91 91 32 74|Activité : entreprise
203|SOCIÉTÉ MTICE|5 La Canebière|13001 MARSEILLE|08 11 55 58 88|Activité : entreprise
204|SOC EX LIB ME LO PINTO MAMELLI TOURNU|26 rue GRIGNAN|13001 MARSEILLE 01|04 91 56 60 00|Activité : entreprise
205|SLASH STORE SACHA LAUBER MELIC|9 R HAXO|13001 MARSEILLE|04 91 33 68 94|Activité : entreprise
206|SDF AGABRIEL - STIOUI - LALANDE|35 Rue Sainte|13001 Marseille|04 91 33 90 11|Activité : entreprise
207|SCP AIMEDIEU|60 Rue de Rome|13001 Marseille|04 91 55 07 73|Activité : entreprise
208|SANTANDREA JEAN BAPTISTE JEAN BAPTISTE SANTANDREA|3 Rue Farjon|13001 Marseille|04 91 62 43 26|Activité : entreprise
209|SALAMON YVONNE YVONNE SALAMON|3 Place aux Huiles|13001 Marseille|04 91 57 09 09|Activité : entreprise
210|SA ERGHOT|10 Boulevard Garibaldi|13001 Marseille|04 91 54 31 51|Activité : entreprise
211|ROMIEU PRAT MONIQUE MONIQUE ROMIEU PRAT|3 square STALINGRAD|13001 MARSEILLE 01|04 91 08 44 73|Activité : entreprise
212|RESTAURANT LE CARIBOU CHRISTIAN CATONI|38 place THIARS|13001 MARSEILLE|04 91 33 22 63|Activité : entreprise
213|REGIE DES TRANSPORTS DE MARSEILLE|1 rue CURIOL|13001 MARSEILLE 01|04 91 92 64 06|Activité : entreprise
214|R I T M JACQUELINE ELISABETH DARNIS|16 R Rue d'Aix|13001 Marseille|04 91 54 30 43|Activité : entreprise
215|PELLEGRIN ET FILS|19 rue FRANCIS DAVSO|13001 MARSEILLE 01|04 91 54 42 11|Activité : entreprise
216|PAYAT ALAIN ALAIN PAYAT|53 Rue de la Palud|13001 Marseille|04 91 33 92 74|Activité : entreprise
217|NEWFPMAG 25|10 boulevard LIBERATION|13001 MARSEILLE 01|04 91 98 79 37|Activité : entreprise
218|NEW SAINT CHARLES VOYAGES|63 place BERNARD DU BOIS|13001 MARSEILLE|04 91 90 11 18|Activité : entreprise
219|NEW HOTEL SELECT|4 Allée Léon Gambetta|13001 Marseille|04 91 50 45 56|Activité : entreprise
220|Mode Style|52 Rue Nationale|13001 Marseille|04 91 52 48 77|Activité : entreprise
221|MUTUELLE ENTRAIN BOUCHES DU RHONE|5 Boulevard Camille Flammarion|13001 Marseille|04 95 04 30 60|Activité : entreprise
222|MUTUELLE ENTRAIN|5 boulevard Camille Flammarion|13001 MARSEILLE|08 11 02 54 54|Activité : entreprise
223|MULLER CHRISTIAN CHRISTIAN MULLER|14 rue VENTURE|13001 MARSEILLE 1|04 91 39 22 96|Activité : entreprise
224|MORDOFF EMMANUELLE MORDOFF|47 QUAIDES BELGES|13001 MARSEILLE|04 91 54 91 86|Activité : entreprise
225|MICROMANIA|rue GARE Saint CHARLES|13001 MARSEILLE|04 91 64 84 75|Activité : jeux vidéo
226|MASSILIA CAFE NICOLAS GIRAUD|33 Rue de la Reine Élisabeth Von Wittelbach|13001 Marseille|04 91 91 82 14|Activité : entreprise
227|MARSHEL|1 Boulevard Dugommier|13001 Marseille|04 91 91 18 97|Activité : entreprise
228|MARC GELSI|51 Rue Sainte|13001 Marseille|04 91 33 39 67|Activité : entreprise
229|MAKSOUDIAN CHRISTINE CHRISTINE MAKSOUDIAN|16 Allée Léon Gambetta|13001 Marseille|04 91 08 41 40|Activité : entreprise
230|MAISON LA JEUNE FILLE CTRE JANE PANNIE|1 rue FREDERIC CHEVILLON|13001 MARSEILLE 01|04 91 95 99 13|Activité : entreprise
231|MAIRE ALEXANDRA ALEXANDRA MAIRE|134 Boulevard Longchamp|13001 Marseille|04 91 62 75 04|Activité : entreprise
232|MADAME LISA VIETTI|46 Rue Paradis|13001 Marseille|04 86 77 83 67|Activité : entreprise
233|MADAME DANIELLE LECOQ|88 Rue Grignan|13001 Marseille|04 91 91 06 83|Activité : entreprise
234|LIESSES VOYAGES|8 boulevard ATHENES|13001 MARSEILLE 01|04 91 01 29 17|Activité : entreprise
235|LES MINOTS DE MARSEILLE|26 Place aux Huiles|13001 Marseille|04 96 11 00 16|Activité : entreprise
236|LE VENDOME VINCENT UDERSO|48 Rue Grignan|13001 Marseille|04 91 33 36 76|Activité : entreprise
